year,month,BNFCode,BNFName,TotalItems,TotalCost
2012,2012-09-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,2,88.74
2011,2011-01-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,885,74933.16000000003
2014,2014-11-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,8938,403476.98000000016
2013,2013-11-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,2,310.52
2013,2013-01-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1278,5811.7000000000035
2016,2016-11-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,74097,146103.03
2018,2018-06-01,0208020Z0BBABAB,Eliquis_Tab 5mg,530,24465.934839999998
2018,2018-02-01,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),12,1144.7582200000002
2018,2018-12-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1078,5646.143300000009
2015,2015-11-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,24,13.33
2014,2014-11-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,104,75.01
2011,2011-10-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,1,122.0
2016,2016-12-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,359,18498.199999999997
2018,2018-07-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,16,461.46542
2017,2017-01-01,0208020V0BBACAD,Marevan_Tab 5mg,33,27.72322
2018,2018-04-01,0208020Z0BBABAB,Eliquis_Tab 5mg,511,23639.209259999996
2017,2017-12-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,311,35151.299019999955
2015,2015-08-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,12647,816901.6900000002
2017,2017-11-01,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),10,815.8906000000001
2016,2016-04-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,45349,1657039.8099999991
2012,2012-11-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,5,338.49
2018,2018-09-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,6,591.2428600000001
2017,2017-02-01,0208020V0BBAAAA,Marevan_Tab 1mg,83,71.81275
2015,2015-12-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,138512,205709.9
2013,2013-11-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,22,1039.64
2012,2012-06-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,2,206.58
2016,2016-09-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,2,240.16
2015,2015-12-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,57,45.43
2017,2017-05-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,21,1097.9559599999998
2011,2011-06-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,3,358.03
2017,2017-07-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg,10,222.17048999999997
2010,2010-10-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,8,693.8100000000001
2014,2014-07-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,462,25158.36000000001
2018,2018-12-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg,235318,209490.8532099995
2014,2014-04-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,235,23532.45000000001
2012,2012-12-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,236,11315.950000000004
