,year,BNFCode,BNFName,TotalItems,TotalCost
0,2017,0208020AAAAAAAA,Edoxaban_Tab 15mg,312,13478.45137
1,2018,0208020AAAAAAAA,Edoxaban_Tab 15mg,228,10037.555950000002
2,2016,0208020AAAAAAAA,Edoxaban_Tab 15mg                       ,88,2493.3900000000003
3,2015,0208020AAAAAAAA,Edoxaban_Tab 15mg                       ,12,222.52
4,2018,0208020AAAAABAB,Edoxaban_Tab 30mg,30971,1215574.7125099993
5,2017,0208020AAAAABAB,Edoxaban_Tab 30mg,38293,1538813.0928700017
6,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,4509,196157.27000000005
7,2015,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,46,2433.2300000000005
8,2017,0208020AAAAACAC,Edoxaban_Tab 60mg,54916,2668691.549950001
9,2018,0208020AAAAACAC,Edoxaban_Tab 60mg,43936,2101412.6287000095
10,2016,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,7338,390656.07000000007
11,2015,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,115,6478.33
12,2018,0208020AABBAAAA,Lixiana_Tab 15mg,1,48.74065
13,2017,0208020AABBAAAA,Lixiana_Tab 15mg,1,97.27183
14,2018,0208020AABBABAB,Lixiana_Tab 30mg,99,4909.55471
15,2017,0208020AABBABAB,Lixiana_Tab 30mg,135,6709.30546
16,2015,0208020AABBABAB,Lixiana_Tab 30mg                        ,1,217.44
17,2016,0208020AABBABAB,Lixiana_Tab 30mg                        ,53,1134.9900000000002
18,2017,0208020AABBACAC,Lixiana_Tab 60mg,508,23842.684710000005
19,2018,0208020AABBACAC,Lixiana_Tab 60mg,350,17113.27738
20,2015,0208020AABBACAC,Lixiana_Tab 60mg                        ,4,231.16
21,2016,0208020AABBACAC,Lixiana_Tab 60mg                        ,127,6043.010000000001
22,2017,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,15097,77432.99188000002
23,2018,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,4452,23186.17137999997
24,2013,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,20309,102945.83999999992
25,2012,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,18979,96486.31999999995
26,2016,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,17300,86709.85999999977
27,2015,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,18646,93951.49999999999
28,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5106,27367.109999999982
29,2014,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,19735,101302.93
30,2011,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,15102,79521.02000000003
31,2018,0208020H0BBAAAA,Sinthrome_Tab 1mg,4004,19936.90508999999
32,2017,0208020H0BBAAAA,Sinthrome_Tab 1mg,13394,65938.43437
33,2011,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,13788,66742.06999999996
34,2010,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,4737,23933.240000000013
35,2012,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,16480,79392.26000000001
36,2015,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,16711,80774.79000000005
37,2013,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,17608,84699.84999999999
38,2014,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,17292,83347.39000000003
39,2016,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,15186,73820.6199999998
40,2018,0208020N0AAAAAA,Phenindione_Tab 10mg,107,207595.37678000002
41,2017,0208020N0AAAAAA,Phenindione_Tab 10mg,377,779694.84884
42,2014,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,1213,451278.35000000003
43,2016,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,540,1118157.1700000009
44,2010,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,5087,391074.3399999998
45,2011,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,8934,1037477.2500000001
46,2013,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,1186,332841.2299999997
47,2015,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,898,882764.4100000001
48,2012,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,3864,717914.5000000001
49,2018,0208020N0AAABAB,Phenindione_Tab 25mg,127,211894.9906
50,2017,0208020N0AAABAB,Phenindione_Tab 25mg,426,774269.3969400001
51,2012,0208020N0AAABAB,Phenindione_Tab 25mg                    ,3339,567430.9800000002
52,2010,0208020N0AAABAB,Phenindione_Tab 25mg                    ,2351,143389.42999999996
53,2015,0208020N0AAABAB,Phenindione_Tab 25mg                    ,568,447038.9800000001
54,2016,0208020N0AAABAB,Phenindione_Tab 25mg                    ,481,702326.1700000003
55,2014,0208020N0AAABAB,Phenindione_Tab 25mg                    ,568,183427.24
56,2011,0208020N0AAABAB,Phenindione_Tab 25mg                    ,7178,696408.6399999999
57,2013,0208020N0AAABAB,Phenindione_Tab 25mg                    ,1094,285052.19
58,2017,0208020N0AAACAC,Phenindione_Tab 50mg,7,1118.29678
59,2018,0208020N0AAACAC,Phenindione_Tab 50mg,1,48.06181
60,2016,0208020N0AAACAC,Phenindione_Tab 50mg                    ,14,1302.29
61,2011,0208020N0AAACAC,Phenindione_Tab 50mg                    ,2826,215492.99000000005
62,2013,0208020N0AAACAC,Phenindione_Tab 50mg                    ,302,27557.260000000002
63,2010,0208020N0AAACAC,Phenindione_Tab 50mg                    ,3276,193499.1799999999
64,2015,0208020N0AAACAC,Phenindione_Tab 50mg                    ,14,1886.2600000000004
65,2014,0208020N0AAACAC,Phenindione_Tab 50mg                    ,195,15438.960000000001
66,2012,0208020N0AAACAC,Phenindione_Tab 50mg                    ,913,90079.54000000004
67,2018,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,1192551,1205016.2910599979
68,2017,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,4031835,5627523.556289996
69,2016,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,4561085,7444274.09999999
70,2010,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,1615095,3551668.3600000003
71,2013,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,4697996,8331757.740000003
72,2014,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,4928932,9156369.29
73,2012,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,4360250,7493887.040000003
74,2011,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,3997680,7316797.8100000005
75,2015,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,4904131,10116612.649999999
76,2018,0208020V0AAABAB,Warfarin Sod_Tab 3mg,1012158,833527.4661400011
77,2017,0208020V0AAABAB,Warfarin Sod_Tab 3mg,3413338,3770780.2120199976
78,2013,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,3898295,5473786.61
79,2014,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,4080792,6046624.329999998
80,2012,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,3610916,4922239.44
81,2016,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,3835995,4954743.300000004
82,2015,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,4094576,6615693.299999996
83,2011,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,3306241,4735668.659999999
84,2010,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,1333910,2303602.4
85,2018,0208020V0AAADAD,Warfarin Sod_Tab 5mg,385657,318725.6458100001
86,2017,0208020V0AAADAD,Warfarin Sod_Tab 5mg,1304047,1387117.2696799994
87,2016,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1444428,1787198.5199999998
88,2012,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1392164,1818094.8900000001
89,2014,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1550399,2168892.170000001
90,2013,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1501946,2039989.6300000008
91,2010,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,523628,896619.1500000005
92,2011,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1294424,1803552.3700000015
93,2015,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,1542084,2344307.0
94,2018,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,28,3811.7396900000003
95,2017,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,109,17550.962770000002
96,2010,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,459,90855.40000000001
97,2014,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,156,19455.41999999999
98,2011,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,754,105635.59999999999
99,2016,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,125,20017.249999999993
100,2013,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,191,23584.390000000007
101,2012,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,628,67370.21999999997
102,2015,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,142,16915.220000000005
103,2012,0208020V0AAAKAK,Warfarin Sod_Liq Spec 25mg/5ml          ,1,166.21
104,2018,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml,1,386.3637
105,2017,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml,4,1385.28808
106,2016,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,10,2167.76
107,2010,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,26,6609.089999999999
108,2011,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,44,6503.510000000001
109,2013,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,46,9163.580000000002
110,2012,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,41,5699.09
111,2015,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,16,4179.75
112,2014,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,20,3249.0099999999998
113,2018,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,10,11277.900520000001
114,2017,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,24,29954.425099999997
115,2016,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,26,17877.27
116,2011,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,150,32418.549999999985
117,2010,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,88,16934.129999999997
118,2015,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,52,16232.999999999998
119,2013,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,80,18061.23999999999
120,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,146,24641.96
121,2014,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,65,14330.219999999998
122,2010,0208020V0AAARAR,Warfarin Sod_Liq Spec 1.5mg/5ml         ,2,183.13
123,2012,0208020V0AAARAR,Warfarin Sod_Liq Spec 1.5mg/5ml         ,3,265.53
124,2018,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,235951,410010.83177999913
125,2017,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,803773,1468839.7559600018
126,2012,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,785986,1615134.8599999999
127,2010,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,265765,554838.5100000005
128,2016,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,911809,1826565.4499999974
129,2011,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,686625,1400697.0899999987
130,2014,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,943633,1614710.910000002
131,2015,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,957930,2054698.830000001
132,2013,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,880340,1623479.2299999997
133,2010,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,28,8630.26
134,2012,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,5,2143.69
