,chemical_code,chemical,month,TotalItems,TotalCost
0,0208020Z0,Apixaban,2016-09-01,163397,7373482.820000001
1,0208020Y0,Rivaroxaban,2016-11-01,241991,10767159.079999978
2,0208020V0,Warfarin Sodium,2014-10-01,1015175,1872214.5100000005
3,0208020V0,Warfarin Sodium,2014-03-01,931675,1558475.3099999991
4,0208020N0,Phenindione,2012-09-01,241,53305.37000000001
5,0208020N0,Phenindione,2013-11-01,156,44312.33
6,0208020Z0,Apixaban,2013-03-01,123,6195.330000000003
7,0208020N0,Phenindione,2012-10-01,167,31824.60000000001
8,0208020AA,Edoxaban,2018-12-01,42654,1932269.8671999886
9,0208020X0,Dabigatran Etexilate,2018-06-01,39646,1867255.2713600225
10,0208020V0,Warfarin Sodium,2018-05-01,715209,552167.7285500035
11,0208020AA,Edoxaban,2017-11-01,13187,581121.6672099993
12,0208020N0,Phenindione,2016-07-01,88,149230.86
13,0208020V0,Warfarin Sodium,2016-04-01,934087,1505465.59
14,0208020N0,Phenindione,2016-05-01,70,117088.56999999999
15,0208020AA,Edoxaban,2017-02-01,3286,152289.58348000015
16,0208020Y0,Rivaroxaban,2015-02-01,88040,4358947.349999998
17,0208020V0,Warfarin Sodium,2015-03-01,975069,1849506.0199999996
18,0208020V0,Warfarin Sodium,2011-01-01,693070,1265183.4300000002
19,0208020N0,Phenindione,2014-10-01,154,55027.39
20,0208020Z0,Apixaban,2014-04-01,7283,377280.8199999999
21,0208020H0,Acenocoumarol,2013-07-01,3233,15956.779999999997
22,0208020X0,Dabigatran Etexilate,2011-04-01,129,11776.740000000009
23,0208020H0,Acenocoumarol,2018-02-01,1981,10066.929319999992
24,0208020N0,Phenindione,2016-02-01,130,237963.05
25,0208020V0,Warfarin Sodium,2011-11-01,808557,1179417.7499999993
26,0208020Y0,Rivaroxaban,2015-04-01,108479,5451840.290000002
27,0208020V0,Warfarin Sodium,2012-04-01,795603,1301088.9400000002
28,0208020Z0,Apixaban,2015-01-01,28504,1476626.8499999999
29,0208020N0,Phenindione,2011-11-01,1504,204517.09000000003
30,0208020H0,Acenocoumarol,2014-05-01,3202,15902.689999999999
31,0208020H0,Acenocoumarol,2013-02-01,3360,17226.730000000032
32,0208020V0,Warfarin Sodium,2017-03-01,871454,1214961.0752500005
33,0208020N0,Phenindione,2013-06-01,174,41369.21000000001
34,0208020Z0,Apixaban,2015-12-01,93620,4875916.030000007
35,0208020V0,Warfarin Sodium,2016-02-01,878767,1426384.4099999997
36,0208020V0,Warfarin Sodium,2013-05-01,950050,1574798.6999999993
37,0208020V0,Warfarin Sodium,2014-04-01,937809,1467370.0000000002
38,0208020V0,Warfarin Sodium,2010-09-01,753221,1685408.8100000008
39,0208020X0,Dabigatran Etexilate,2012-04-01,1758,105437.99000000014
40,0208020Z0,Apixaban,2015-10-01,73951,3828256.2800000003
41,0208020H0,Acenocoumarol,2011-12-01,2781,13983.099999999997
42,0208020X0,Dabigatran Etexilate,2014-05-01,22859,1313240.5699999991
43,0208020Z0,Apixaban,2015-08-01,58770,3030027.5600000015
44,0208020N0,Phenindione,2013-05-01,242,57187.65
45,0208020H0,Acenocoumarol,2010-11-01,1959,10203.849999999991
46,0208020H0,Acenocoumarol,2011-10-01,2562,12942.630000000005
47,0208020Y0,Rivaroxaban,2012-06-01,457,22447.820000000018
48,0208020N0,Phenindione,2015-05-01,123,48339.11999999998
49,0208020X0,Dabigatran Etexilate,2011-10-01,386,23623.65999999997
50,0208020X0,Dabigatran Etexilate,2010-10-01,71,6022.149999999998
51,0208020N0,Phenindione,2012-11-01,300,67389.68999999999
52,0208020V0,Warfarin Sodium,2016-12-01,917265,1358867.5699999998
53,0208020X0,Dabigatran Etexilate,2017-09-01,38182,1788549.0627199686
54,0208020Y0,Rivaroxaban,2018-11-01,345807,15988056.874330472
55,0208020H0,Acenocoumarol,2019-03-01,2040,10615.723639999982
56,0208020Y0,Rivaroxaban,2018-06-01,321952,14800184.030609956
57,0208020H0,Acenocoumarol,2017-08-01,2423,12112.019840000034
58,0208020H0,Acenocoumarol,2018-05-01,2177,10971.75810999998
59,0208020AA,Edoxaban,2016-07-01,889,44750.80000000004
60,0208020X0,Dabigatran Etexilate,2014-12-01,29233,1701458.32
61,0208020H0,Acenocoumarol,2011-09-01,2610,13075.389999999998
62,0208020H0,Acenocoumarol,2014-06-01,2991,15101.310000000007
63,0208020X0,Dabigatran Etexilate,2012-06-01,3061,166228.21000000008
64,0208020AA,Edoxaban,2017-03-01,4434,205515.15022999977
65,0208020N0,Phenindione,2012-03-01,1349,217011.55000000008
66,0208020N0,Phenindione,2015-10-01,128,216518.8399999999
67,0208020V0,Warfarin Sodium,2018-02-01,663708,740344.6682300011
68,0208020N0,Phenindione,2017-10-01,63,114090.07125000001
69,0208020Z0,Apixaban,2018-11-01,428282,19481256.98754994
70,0208020N0,Phenindione,2018-03-01,67,125647.60315000001
71,0208020H0,Acenocoumarol,2010-08-01,1802,9361.839999999995
72,0208020H0,Acenocoumarol,2010-10-01,1786,9296.06
73,0208020N0,Phenindione,2011-12-01,1685,243440.77000000016
74,0208020H0,Acenocoumarol,2015-01-01,3038,14862.049999999996
75,0208020X0,Dabigatran Etexilate,2012-12-01,8358,460125.7299999999
76,0208020X0,Dabigatran Etexilate,2013-03-01,11227,621426.8199999996
77,0208020H0,Acenocoumarol,2013-10-01,3302,16748.52000000001
78,0208020Z0,Apixaban,2013-10-01,2358,124522.81999999998
79,0208020N0,Phenindione,2016-12-01,75,126198.84999999999
80,0208020AA,Edoxaban,2017-10-01,11528,506505.17612000334
81,0208020Y0,Rivaroxaban,2018-09-01,321324,14810117.832159871
82,0208020Z0,Apixaban,2018-07-01,388937,17652499.59413006
83,0208020H0,Acenocoumarol,2018-06-01,2077,10662.288539999978
84,0208020N0,Phenindione,2019-01-01,67,110941.12935000002
85,0208020Y0,Rivaroxaban,2017-01-01,242910,10856548.776349992
86,0208020X0,Dabigatran Etexilate,2016-11-01,36766,1682424.5199999993
87,0208020X0,Dabigatran Etexilate,2013-10-01,18006,1022845.0599999998
88,0208020V0,Warfarin Sodium,2011-03-01,793956,1449454.22
89,0208020V0,Warfarin Sodium,2010-10-01,717703,1290563.4899999995
90,0208020H0,Acenocoumarol,2011-07-01,2431,12167.059999999998
91,0208020X0,Dabigatran Etexilate,2012-03-01,1489,90092.51000000001
92,0208020Y0,Rivaroxaban,2010-09-01,159,13459.359999999999
93,0208020Y0,Rivaroxaban,2011-01-01,99,8024.749999999998
94,0208020X0,Dabigatran Etexilate,2011-05-01,135,12148.390000000007
95,0208020X0,Dabigatran Etexilate,2010-11-01,85,7461.960000000001
96,0208020Z0,Apixaban,2018-08-01,408737,18551892.65941991
97,0208020H0,Acenocoumarol,2017-05-01,2473,12413.518289999967
98,0208020Z0,Apixaban,2018-12-01,437058,20041426.889079884
99,0208020AA,Edoxaban,2019-03-01,49447,2238848.908619977
100,0208020X0,Dabigatran Etexilate,2016-07-01,34373,1576330.8800000004
101,0208020V0,Warfarin Sodium,2015-12-01,1039286,1927094.4300000006
102,0208020V0,Warfarin Sodium,2011-07-01,767736,1308319.3399999996
103,0208020N0,Phenindione,2014-08-01,183,64680.870000000024
