,pct,year,BNFCode,BNFName,TotalItems,TotalCost
0,02R,2016,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,176,8179.780000000001
1,15E,2016,0208020AABBACAC,Lixiana_Tab 60mg                        ,14,1014.17
2,03D,2016,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,78,4200.91
3,05L,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,69,3800.59
4,06N,2016,0208020AAAAAAAA,Edoxaban_Tab 15mg                       ,2,157.05
5,05L,2015,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,8,489.22999999999996
6,06N,2015,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,5,149.87
7,06N,2016,0208020AABBACAC,Lixiana_Tab 60mg                        ,2,191.97
8,06V,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,28,829.5499999999998
9,04M,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,3,120.05000000000001
10,04Y,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,6,287.87
11,04C,2015,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,263.9
12,00L,2017,0208020N0AAABAB,Phenindione_Tab 25mg,12,23453.161710000004
13,11X,2011,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,12,2939.48
14,03H,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,3,450.34403
15,04L,2011,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,9,1394.3700000000001
16,10C,2011,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,3,3154.69
17,14Y,2017,0208020X0BBAAAA,Pradaxa_Cap 75mg,6,519.24144
18,06L,2010,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,3,321.83
19,10K,2017,0208020V0BBABAB,Marevan_Tab 3mg,9,6.5958
20,03A,2017,0208020N0AAABAB,Phenindione_Tab 25mg,1,241.17097
21,00N,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,76.06
22,10L,2015,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,1,54.38
23,11M,2016,0208020AAAAAAAA,Edoxaban_Tab 15mg                       ,1,47.97
24,05Y,2019,0208020AABBABAB,Lixiana_Tab 30mg,10,492.62071
25,06K,2018,0208020N0AAABAB,Phenindione_Tab 25mg,13,25962.691250000003
26,11E,2010,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,90.97
27,10L,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,79.65
28,05W,2018,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,2,885.6208899999999
29,07W,2018,0208020N0AAABAB,Phenindione_Tab 25mg,1,249.87019
30,03J,2013,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,2,209.99
31,05T,2018,0208020Y0BBAAAA,Xarelto_Tab 10mg,1,50.12179
32,15E,2017,0208020AABBABAB,Lixiana_Tab 30mg,6,411.0514
33,02A,2019,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),1,81.88743
34,08M,2019,0208020N0AAACAC,Phenindione_Tab 50mg,1,48.12758
35,10J,2019,0208020N0AAABAB,Phenindione_Tab 25mg,2,1999.0455
36,09F,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),1,81.75572
37,15M,2019,0208020X0BBAAAA,Pradaxa_Cap 75mg,1,44.29223
38,05L,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,1,11.792
39,08W,2019,0208020Y0BBAAAA,Xarelto_Tab 10mg,1,75.36601
40,10D,2019,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),1,81.97021
41,03T,2017,0208020X0BBAAAA,Pradaxa_Cap 75mg,3,210.96982000000003
42,03E,2017,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),3,245.03815000000003
43,06P,2017,0208020X0BBAAAA,Pradaxa_Cap 75mg,1,44.13121
44,09W,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),1,81.82073
45,05G,2017,0208020AABBABAB,Lixiana_Tab 30mg,1,45.38773
46,01R,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),1,81.82073
47,08C,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,9,365.34
48,15C,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,66,2007.7100000000003
49,00V,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,11,527.8
50,99N,2016,0208020AAAAAAAA,Edoxaban_Tab 15mg                       ,1,54.53
51,00T,2016,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,2,622.97
52,08X,2017,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,6,893.3404200000001
53,99N,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,3,150.02535999999998
54,04G,2017,0208020N0AAABAB,Phenindione_Tab 25mg,30,35956.323339999995
55,06T,2017,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,1,99.99394
56,99J,2017,0208020X0BBAAAA,Pradaxa_Cap 75mg,7,309.4243799999999
57,00V,2016,0208020AABBABAB,Lixiana_Tab 30mg                        ,1,3.54
58,09H,2011,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,9,8477.13
59,06N,2017,0208020N0AAAAAA,Phenindione_Tab 10mg,3,2885.72934
60,01Y,2018,0208020X0BBAAAA,Pradaxa_Cap 75mg,11,941.046
61,99J,2013,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,2,476.29
62,04V,2014,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,180.37
63,01T,2018,0208020AABBABAB,Lixiana_Tab 30mg,9,409.3568499999999
64,00Q,2018,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),5,409.30983
65,07Q,2018,0208020AABBABAB,Lixiana_Tab 30mg,12,858.1345299999999
66,09Y,2017,0208020V0BBAAAA,Marevan_Tab 1mg,1,1.16024
67,07N,2018,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),3,245.48545000000001
68,00T,2018,0208020AABBABAB,Lixiana_Tab 30mg,1,91.03087
69,07G,2011,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,1,220.13
70,04D,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),3,245.65134
71,06V,2018,0208020AABBABAB,Lixiana_Tab 30mg,6,272.79758999999996
72,06A,2014,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,170.97
73,08D,2010,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,160.59
74,11J,2018,0208020V0BBACAD,Marevan_Tab 5mg,8,3.5873299999999997
75,12D,2018,0208020V0BBABAB,Marevan_Tab 3mg,2,0.67451
76,99G,2015,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,344.26
77,02E,2011,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,106.33
78,00D,2018,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),4,327.44457
79,07K,2018,0208020AABBABAB,Lixiana_Tab 30mg,2,90.96177
80,11J,2019,0208020Y0BBAAAA,Xarelto_Tab 10mg,1,50.13238
81,01X,2018,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,2,732.34124
82,10R,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,246.5
83,15N,2019,0208020AABBABAB,Lixiana_Tab 30mg,2,91.06142
84,07X,2018,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),1,81.77553
85,05V,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,11,527.79
86,10A,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,8,372.09
87,11J,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,197,9655.16
88,06W,2016,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,11,827.94
89,08X,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,58,1313.08
90,02F,2016,0208020AAAAACAC,Edoxaban_Tab 60mg                       ,17,1142.3600000000001
91,00Y,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,5,239.91000000000003
92,15M,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,21,1317.64723
93,15N,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,13,608.16875
94,05H,2016,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,6,335.87
95,00L,2013,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,20,5099.969999999999
96,09P,2017,0208020N0AAAAAA,Phenindione_Tab 10mg,18,30010.813149999994
97,05Y,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,83.11
98,99A,2017,0208020N0AAAAAA,Phenindione_Tab 10mg,1,241.05486
99,05A,2011,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,13,4218.3099999999995
100,09Y,2012,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,3,499.01
101,12D,2018,0208020V0BBAFAS,Marevan_Tab 500mcg,9,4.08897
102,15D,2018,0208020V0BBAAAA,Marevan_Tab 1mg,4,1.1993
103,00L,2018,0208020N0AAABAB,Phenindione_Tab 25mg,8,15978.643250000001
104,01G,2019,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),1,81.97021
105,04G,2019,0208020N0AAAAAA,Phenindione_Tab 10mg,4,1999.2906699999999
106,15A,2019,0208020X0BBAAAA,Pradaxa_Cap 75mg,1,94.7792
107,10K,2018,0208020AABBABAB,Lixiana_Tab 30mg,2,181.89342
108,04C,2019,0208020V0BBAAAA,Marevan_Tab 1mg,8,59.27221
109,12F,2019,0208020N0AAAAAA,Phenindione_Tab 10mg,4,5997.9215699999995
110,09C,2017,0208020Y0BBAAAA,Xarelto_Tab 10mg,1,46.8308
111,11J,2018,0208020V0BBABAB,Marevan_Tab 3mg,47,38.57124
112,06W,2011,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,1,233.13
