,pct,year,BNFCode,BNFName,TotalItems,TotalCost
0,11X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,39,209.95
1,01E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,32,148.15
2,06D,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,4,42.66
3,06W,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1,8.53
4,06V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,63.16
5,01F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,26,72.41
6,09N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,27,166.44
7,02P,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,43,248.11
8,11N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,53,301.57
9,03R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,26.93
10,03W,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,35,230.61
11,09C,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,47,216.62
12,99Q,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,22,113.52
13,00Y,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,99,367.86
14,09E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,31,218.09
15,07X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,42.4
16,10J,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,16,80.71
17,06Y,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,6,34.22
18,08R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,6,25.7
19,05X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,29.98
20,06T,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,27,187.09
21,00X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,92,483.65
22,09X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,4,42.65
23,05C,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,9,38.87
24,11E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,8,76.8
25,08A,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,75,439.38
26,99F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,9,38.54
27,09W,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,68.19
28,01K,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,63,373.62
29,10E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,19,94.36
30,03H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,16,72.65
31,08V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,36.9
32,07V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,51.79
33,05H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,38.42
34,01X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,24,165.91
35,05G,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,12.09
36,08K,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,23,117.31
37,07M,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,9,40.62
38,07H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,23,115.61
39,05V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,11,47.63
40,08X,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,8,34.26
41,12D,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,34.17
42,04F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,119.39
43,09H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,6,21.88
44,03N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,61,298.42
45,08L,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,20,107.42
46,00T,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,131,570.72
47,99E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,52,239.39
48,15A,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,42.84
49,05R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,8,34.13
50,05A,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,28,161.59
51,99H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,14,119.5
52,04Q,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,21.25
53,02H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,60,293.55
54,07N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,87,487.09
55,11M,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,14,81.91
56,05J,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,55.5
57,99G,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,48.66
58,08P,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,11,52.21
59,08F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,33,199.12
60,09A,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,8,61.92
61,RCD,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1,5.13
62,06Q,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,39,194.43
63,09D,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,9,49.18
64,10C,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,46.92
65,00Q,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,23.53
66,08M,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,16,108.09
67,02R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,2,9.58
68,06L,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,27,103.1
69,05Y,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,33.7
70,07R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,93.02
71,09F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,8,34.27
72,00J,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,4,17.12
73,04V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,34,199.49
74,99M,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,2,15.49
75,08J,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,21,182.51
76,08W,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,38,222.44
77,08G,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,30,171.15
78,01V,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,21,115.97
79,04R,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,71,464.85
80,04K,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,56,322.36
81,03T,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,42,269
82,00W,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,6,25.69
83,03C,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,59.7
84,5K5,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,2,8.56
85,99A,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,51,238.53
86,07Q,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,53,247.82
87,02M,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,47,222.69
88,01T,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,14,74.85
89,01H,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,13,48.46
90,15D,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,5,21.42
91,04N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,34,150.49
92,09Y,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,10,55.06
93,08E,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,6,15.09
94,06N,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,60,349.06
95,04J,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,41,198.04
96,07P,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,32,67.44
97,03L,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,29.98
98,15F,2010,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,7,33.39
